date,SC actual,SC noPolicy,SC drug new five,SC drug new fifteen,SC drug new twentyFive,SC drug new fifty,SC property new five,SC property new fifteen,SC property new twentyFive,SC property new fifty,SC violent new five,SC violent new fifteen,SC violent new twentyFive,SC violent new fifty,SC nonviolent new five,SC nonviolent new fifteen,SC nonviolent new twentyFive,SC nonviolent new fifty,SC all new five,SC all new fifteen,SC all new twentyFive,SC all new fifty,SC revocation new five,SC revocation new fifteen,SC revocation new twentyFive,SC revocation new fifty,SC drug length five,SC drug length fifteen,SC drug length twentyFive,SC drug length fifty,SC property length five,SC property length fifteen,SC property length twentyFive,SC property length fifty,SC violent length five,SC violent length fifteen,SC violent length twentyFive,SC violent length fifty,SC nonviolent length five,SC nonviolent length fifteen,SC nonviolent length twentyFive,SC nonviolent length fifty,SC all length five,SC all length fifteen,SC all length twentyFive,SC all length fifty,SC revocation length five,SC revocation length fifteen,SC revocation length twentyFive,SC revocation length fifty
Jun-14,,21501,21488,21462,21435,21370,21476,21427,21377,21253,21483,21447,21411,21322,21454,21361,21268,21035,21436,21307,21178,20856,21488,21463,21437,21373,21493.19684,21477.71075,21461.95365,21421.32205,21486.14812,21456.39595,21426.14286,21348.22328,21491.1916,21471.63052,21451.71003,21400.26335,21472.66352,21415.63349,21357.68202,21208.60291,21463.01446,21386.42334,21308.55139,21108.02559,21492.96904,21477.0292,21460.82109,21419.07614
Dec-14,,21302,21282,21242,21202,21102,21266,21193,21120,20938,21274,21217,21159,21016,21234,21098,20962,20621,21206,21012,20819,20335,21284,21246,21208,21115,21288.63734,21260.51687,21231.75612,21156.88204,21276.71634,21224.41979,21171.0255,21032.46546,21283.99227,21246.3619,21207.78623,21106.93759,21254.04617,21155.77719,21055.5439,20795.89527,21235.57339,21099.67405,20960.86509,20600.36782,21288.68006,21260.67808,21232.08239,21157.84632
Jun-15,,21125,21097,21042,20986,20847,21076,20979,20881,20637,21084,21001,20918,20712,21034,20852,20671,20217,20993,20728,20464,19804,21100,21050,20999,20874,21103.84095,21061.02852,21017.05102,20901.62808,21086.90778,21009.72717,20930.69414,20724.47356,21095.31644,21034.92882,20972.63707,20807.86566,21054.21463,20910.59098,20763.6573,20380.89236,21024.70416,20820.69289,20611.46746,20063.93112,21104.51419,21063.14998,21020.76469,20910.02566
Dec-15,,20963,20927,20855,20783,20603,20902,20779,20657,20351,20907,20796,20685,20407,20849,20621,20393,19822,20793,20454,20114,19266,20932,20869,20806,20648,20934.26714,20875.27624,20814.459,20653.73173,20912.46838,20809.24307,20703.32305,20425.88695,20920.62433,20833.32073,20742.73205,20500.39005,20869.19909,20677.86607,20481.66211,19968.26439,20826.71588,20548.07927,20261.28662,19505.54691,20935.95379,20880.55103,20823.62762,20674.14335
Jun-16,,20814,20769,20680,20591,20367,20740,20593,20445,20077,20742,20599,20456,20099,20676,20401,20126,19438,20605,20186,19768,18723,20776,20700,20624,20435,20776.50349,20700.25099,20621.39672,20411.77417,20750.15127,20620.47914,20487.24058,20137.37124,20756.54949,20638.63351,20515.59641,20182.84817,20695.94574,20455.70913,20208.90511,19560.85112,20638.7943,20280.64171,19910.80059,18929.99835,20779.59846,20709.91268,20638.16359,20448.98617
Dec-16,,20674,20620,20513,20406,20138,20588,20416,20244,19815,20585,20408,20230,19787,20513,20191,19869,19063,20424,19925,19425,18177,20630,20542,20454,20234,20628.03286,20533.72285,20435.94262,20174.70714,20597.53218,20441.49795,20281.03835,19859.06112,20600.64477,20448.82417,20289.57086,19854.33293,20532.16544,20242.6028,19944.70395,19160.37932,20458.85632,20017.47309,19560.32092,18340.75837,20632.9387,20549.03067,20462.49943,20233.63948
Jun-17,,20542,20479,20354,20228,19915,20444,20248,20053,19563,20435,20221,20007,19471,20358,19989,19620,18699,20251,19668,19085,17628,20492,20392,20292,20042,20486.99161,20374.03435,20256.66375,19941.75162,20452.797,20270.7969,20083.55314,19590.78818,20451.12731,20262.46344,20063.56877,19514.45126,20376.13998,20037.34487,19688.41844,18767.85245,20285.3613,19757.90232,19210.08122,17740.39772,20494.1162,20396.26553,20295.23597,20027.41767
Dec-17,,20416,20344,20200,20056,19696,20307,20088,19869,19321,20290,20037,19784,19151,20209,19794,19380,18344,20082,19415,18747,17079,20360,20249,20138,19859,20351.98557,20219.94074,20082.47968,19712.31587,20314.57555,20107.20453,19893.82888,19332.22082,20306.68662,20078.55034,19836.89494,19163.14461,20226.56812,19838.98078,19439.47222,18383.80313,20117.16129,19501.43766,18860.2737,17130.85429,20361.74074,20250.38587,20135.31803,19829.8003
Jun-18,,20295,20214,20051,19888,19481,20175,19933,19692,19088,20149,19855,19561,18826,20066,19606,19147,17998,19919,19165,18412,16529,20234,20112,19990,19684,20221.95857,20070.49517,19912.56452,19485.93834,20181.82093,19949.80019,19711.07999,19082.95358,20166.34831,19896.38167,19609.11884,18800.56425,20082.45306,19646.748,19197.35742,18008.46411,19953.39199,19247.72028,18511.06687,16513.61897,20234.75919,20110.45532,19981.94003,19640.38684
Dec-18,,20179,20088,19906,19724,19270,20047,19784,19521,18863,20011,19675,19338,18498,19927,19423,18920,17660,19759,18919,18079,15979,20113,19981,19848,19518,20096.09966,19924.96752,19746.27772,19262.2493,20053.72319,19797.85373,19534.65992,18842.56298,20029.37874,19715.46151,19379.98758,18426.98628,19943.02174,19460.03285,18961.63216,17641.8837,19793.3951,18996.48898,18162.61437,15889.8646,20112.36301,19975.75245,19834.47888,19458.86559
Jun-19,,20066,19966,19765,19564,19061,19924,19640,19356,18646,19876,19496,19116,18165,19793,19246,18699,17332,19603,18675,17748,15430,19995,19854,19712,19358,19973.77761,19782.78695,19583.11518,19040.94517,19929.64771,19650.7807,19364.0351,18610.64056,19895.21817,19535.43868,19149.36638,18042.7544,19807.66697,19278.33748,18731.91495,17284.00233,19636.66299,18747.55401,17815.05918,15260.53458,19993.92295,19845.7139,19692.44633,19284.99193
Dec-19,,19957,19846,19626,19406,18856,19804,19500,19196,18436,19744,19318,18892,17828,19662,19073,18484,17011,19449,18434,17420,14883,19881,19731,19581,19206,19854.49437,19643.501,19422.6745,18821.77132,19809.09092,19508.10879,19198.76364,18386.81043,19763.43377,19356.06339,18917.19798,17648.2414,19675.90589,19101.25468,18507.87775,16934.70212,19482.79926,18500.77767,17468.53534,14626.40313,19878.94261,19719.89388,19555.4548,19118.57235
Jun-20,,19850,19730,19490,19251,18653,19688,19365,19041,18233,19613,19141,18669,17488,19534,18904,18274,16699,19298,18196,17094,14338,19771,19613,19455,19060,19737.85175,19506.74631,19264.63011,18604.51033,19691.64832,19369.45273,19038.47798,18170.7368,19633.68623,19177.15705,18683.47494,17243.8235,19547.34977,18928.44859,18289.23894,16593.8378,19331.49043,18256.06007,17123.1683,13988.11574,19767.02518,19597.93499,19423.19268,18959.45256
Dec-20,,19745,19616,19357,19098,18452,19574,19232,18891,18037,19485,18965,18445,17145,19410,18740,18070,16395,19150,17960,16770,13794,19662,19497,19332,18920,19623.52734,19372.22734,19108.7152,18388.97391,19576.99108,19234.49537,18882.87089,17962.1254,19505.70596,18998.59126,18448.22075,16829.86334,19421.68196,18759.63993,18075.75661,16261.2554,19182.48539,18013.32864,16779.07482,13346.21621,19657.84942,19479.54711,19295.40639,18807.50842
Jun-21,,19642,19503,19225,18948,18253,19463,19104,18745,17847,19358,18789,18220,16798,19288,18579,17870,16098,19003,17726,16448,13254,19557,19386,19215,18787,19511.25695,19239.70085,18954.70851,18174.99714,19464.84889,19102.97329,18731.68419,17760.72124,19379.27589,18820.273,18211.47703,16406.69878,19298.64165,18594.59456,17867.22262,15936.8028,19035.58049,17772.5305,16436.36259,12701.16453,19551.15215,19364.49189,19171.88714,18662.63901
Dec-21,,19542,19393,19096,18799,18056,19354,18978,18602,17663,19232,18614,17995,16449,19168,18422,17675,15809,18859,17494,16129,12716,19453,19277,19101,18659,19400.82167,19108.96448,18802.42459,17962.43433,19354.9972,18974.66582,18584.69973,17566.3048,19254.21902,18642.13425,17973.29486,15974.63558,19178.01176,18433.11467,17663.45735,15620.33532,18890.60861,17533.62676,16095.13004,12053.34873,19446.71529,19252.57139,19052.46113,18524.76145
