date,GA actual,GA noPolicy,GA drug new five,GA drug new fifteen,GA drug new twentyFive,GA drug new fifty,GA property new five,GA property new fifteen,GA property new twentyFive,GA property new fifty,GA violent new five,GA violent new fifteen,GA violent new twentyFive,GA violent new fifty,GA nonviolent new five,GA nonviolent new fifteen,GA nonviolent new twentyFive,GA nonviolent new fifty,GA all new five,GA all new fifteen,GA all new twentyFive,GA all new fifty,GA revocation new five,GA revocation new fifteen,GA revocation new twentyFive,GA revocation new fifty,GA drug length five,GA drug length fifteen,GA drug length twentyFive,GA drug length fifty,GA property length five,GA property length fifteen,GA property length twentyFive,GA property length fifty,GA violent length five,GA violent length fifteen,GA violent length twentyFive,GA violent length fifty,GA nonviolent length five,GA nonviolent length fifteen,GA nonviolent length twentyFive,GA nonviolent length fifty,GA all length five,GA all length fifteen,GA all length twentyFive,GA all length fifty,GA revocation length five,GA revocation length fifteen,GA revocation length twentyFive,GA revocation length fifty
Jun-13,,55309,55303,55290,55277,55245,55299,55279,55259,55209,55300,55281,55263,55216,55290,55251,55212,55114,55280,55223,55165,55021,55301,55285,55269,55228,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824,55309.29824
Dec-13,,55381,55364,55330,55296,55210,55354,55300,55245,55110,55354,55301,55248,55114,55329,55224,55119,54858,55302,55144,54986,54591,55359,55316,55273,55164,55374.74663,55362.17538,55349.46248,55317.04458,55371.73066,55353.07678,55334.21271,55286.10933,55371.18635,55351.43471,55331.46051,55280.52631,55362.32529,55324.70258,55286.65596,55189.63707,55352.53176,55295.15741,55237.13659,55089.1835,55372.7528,55356.16038,55339.381,55296.59359
Jun-14,,55311,55281,55220,55159,55007,55262,55164,55065,54819,55260,55158,55056,54801,55217,55028,54840,54368,55166,54875,54584,53858,55273,55196,55119,54926,55294.65165,55260.66951,55226.102,55137.00875,55286.23383,55235.19331,55183.26308,55049.37107,55282.79756,55224.75353,55165.63989,55012.95834,55261.00562,55158.86419,55054.95319,54787.08944,55232.37486,55072.18939,54909.16476,54488.61946,55288.9241,55243.33875,55196.96576,55077.4344
Dec-14,,55146,55101,55009,54918,54690,55071,54921,54770,54394,55065,54903,54740,54334,55003,54718,54432,53718,54922,54474,54026,52906,55089,54975,54860,54574,55116.03226,55054.7086,54992.03928,54829.13167,55100.24261,55006.78582,54911.22002,54662.52044,55090.56789,54977.22739,54861.03428,54557.24491,55054.96925,54869.49813,54679.89956,54186.76688,54999.33226,54700.52064,54394.72896,53597.80692,55105.3857,55022.42624,54937.65,54717.29449
Jun-15,,54921,54859,54736,54612,54302,54817,54609,54401,53881,54805,54572,54339,53758,54725,54334,53942,52962,54609,53985,53360,51799,54845,54692,54538,54156,54875.84951,54783.41402,54688.60957,54440.50314,54851.01807,54707.8562,54560.84786,54175.25353,54831.34896,54647.4715,54457.80801,53956.18287,54783.04147,54501.36001,54212.28236,53454.88915,54693.17953,54227.62061,53748.87947,52489.86111,54859.74893,54734.53967,54606.1719,54270.48162
Dec-15,,54665,54586,54428,54271,53877,54529,54259,53988,53311,54509,54198,53887,53110,54412,53907,53403,52140,54257,53441,52625,50585,54569,54377,54186,53707,54603.07277,54477.27498,54347.89183,54007.49724,54567.75999,54369.57515,54165.34016,53626.011,54534.35637,54266.59578,53988.84595,53246.26436,54475.49494,54088.9149,53690.91512,52641.80993,54345.17002,53690.82938,53015.07978,51223.393,54581.60693,54412.11016,54237.97237,53780.80073
Jun-16,,54399,54303,54110,53918,53437,54230,53892,53555,52710,54201,53805,53409,52420,54087,53463,52840,51281,53889,52870,51850,49302,54284,54056,53827,53254,54320.49465,54160.08852,53994.74502,53557.8987,54273.44207,54016.27714,53750.43687,53044.20889,54222.87392,53859.82285,53481.2764,52458.96533,54156.00568,53658.6666,53145.26153,51784.97047,53979.95256,53119.56239,52227.61088,49845.00875,54294.28531,54080.61144,53860.84573,53282.73067
Dec-16,,54142,54028,53801,53573,53004,53937,53528,53119,52097,53899,53413,52928,51713,53768,53021,52273,50404,53525,52292,51059,47976,54010,53745,53481,52820,54046.26465,53850.61853,53648.58116,53112.89168,53986.35506,53667.14206,53336.2248,52452.21737,53915.69119,53447.85384,52957.75217,51621.78835,53843.29792,53231.13454,52597.7083,50911.69374,53617.18629,52537.18557,51413.65765,48391.67927,54016.3497,53760.12628,53496.53164,52802.88954
Jun-17,,53908,53776,53513,53250,52592,53666,53181,52696,51485,53618,53039,52459,51011,53470,52594,51717,49527,53180,51724,50269,46630,53759,53462,53164,52420,53795.14886,53563.96811,53324.85049,52688.81959,53721.37266,53337.58204,52938.6379,51867.08614,53628.28575,53047.99601,52437.50861,50759.10186,53552.49216,52822.48767,52065.47709,50041.71881,53272.86746,51962.57323,50595.07525,46892.91022,53762.86323,53466.70342,53162.15755,52361.59583
Dec-17,,53710,53560,53261,52962,52214,53427,52862,52297,50885,53372,52696,52020,50330,53205,52194,51184,48659,52867,51181,49495,45280,53545,53217,52889,52069,53579.54459,53312.68691,53036.24723,52298.66535,53490.97327,53040.36705,52570.68726,51302.02093,53373.78036,52675.08256,51937.23176,49892.82695,53296.1901,52445.86495,51562.18868,49189.39612,52960.40106,51411.37811,49789.85104,45372.65367,53546.41245,53213.4953,52871.48766,51974.37838
Jun-18,,53558,53390,53055,52719,51881,53232,52582,51932,50306,53170,52396,51622,49687,52983,51833,50684,47810,52596,50672,48748,43939,53379,53023,52667,51776,53410.2903,53107.65119,52793.6668,51953.24087,53306.059,52786.53156,52243.46025,50767.62559,53163.71397,52342.22214,51471.77352,49043.01933,53085.33977,52112.42671,51099.11509,48365.50602,52691.45985,50897.05496,49013.29473,43850.93147,53377.935,53011.69194,52635.97049,51653.34091
Dec-18,,53462,53276,52904,52532,51602,53091,52350,51608,49754,53025,52152,51278,49094,52814,51519,50224,46986,52378,50209,48040,42618,53271,52889,52507,51552,53297.31367,52958.76093,52606.95781,51662.10876,53176.61537,52586.10755,51966.93339,50272.93665,53008.66639,52061.41506,51054.74957,48228.38326,52929.92698,51832.18838,50686.17016,47578.70989,52476.67505,50431.68512,48279.00141,42345.17484,53267.38749,52871.28073,52465.6009,51408.33658
Jun-19,,53432,53228,52819,52410,51387,53013,52173,51334,49236,52946,51972,50999,48566,52708,51260,49813,46193,52222,49801,47380,41327,53229,52824,52419,51406,53250.1593,52875.49923,52485.51662,51434.28225,53112.25292,52448.72827,51750.64517,49826.2896,52918.77453,51844.07077,50699.05058,47466.74179,52839.53768,51614.68989,50332.69813,46836.68492,52326.20185,50026.6503,47599.63834,40871.31635,53224.29226,52801.66747,52369.62613,51247.94825
Dec-19,,53478,53254,52808,52361,51245,53006,52061,51117,48756,52942,51869,50796,48115,52674,51065,49456,45435,52137,49456,46775,40072,53265,52838,52412,51346,53278.43293,52867.39529,52438.77041,51278.76114,53122.6678,52384.14423,51604.2743,49436.06835,52904.17336,51701.45632,50417.2928,46775.4755,52823.8312,51469.55141,50048.12118,46147.02407,52250.1982,49693.20138,46987.60762,39444.69322,53258.19853,52812.19487,52357.1308,51180.29642
Jun-20,,53609,53367,52882,52397,51185,53080,52022,50964,48319,53024,51853,50681,47754,52720,50941,49163,44716,52134,49185,46235,38861,53387,52941,52496,51384,53392.19462,52944.42747,52476.59006,51204.96225,53218.05408,52402.68935,51538.16753,49111.40047,52975.3907,51645.10184,50222.23009,46171.93484,52892.95975,51406.96169,49842.5046,45518.0006,52259.25095,49442.96402,46455.63518,38080.83593,53379.08951,52912.59203,52437.53631,51213.71016
Dec-20,,53837,53575,53051,52527,51218,53246,52065,50883,47930,53203,51934,50666,47495,52857,50898,48939,44041,52223,48996,45768,37699,53606,53144,52682,51527,53602.32825,53117.39755,52609.66819,51223.09543,53409.4964,52515.73215,51563.85984,48862.87386,53143.72108,51687.18585,50127.14678,45673.82834,53057.96502,51438.14045,49727.09469,44959.30593,52364.77906,49288.41927,46017.33444,36796.22724,53597.76292,53113.3852,52621.04719,51357.29883
Jun-21,,54173,53892,53328,52765,51356,53515,52199,50883,47593,53491,52127,50763,47354,53097,50945,48793,43413,52415,48899,45383,36594,53935,53458,52981,51789,53920.91219,53398.30304,52849.89213,51344.52651,53709.36936,52736.14517,51694.63013,48703.36843,53421.60142,51840.9216,50146.25042,45299.592,53331.17922,51575.81274,49714.88122,44482.87837,52579.44107,49243.39476,45687.79207,35609.1308,53926.20962,53426.29697,52919.07446,51621.46055
Dec-21,,54632,54330,53726,53122,51611,53900,52437,50973,47314,53903,52446,50988,47344,53453,51094,48735,42837,52724,48907,45091,35549,54387,53897,53407,52181,54361.61351,53800.73182,53210.73794,51582.15894,54131.76845,53078.8262,51946.13905,48649.12444,53823.01033,52120.96509,50295.08368,45068.75163,53726.65699,51834.73189,49821.23676,44103.95913,52917.57226,49323.60191,45484.22537,34540.61569,54378.01333,53864.65899,53344.66327,52018.35984
