date,OK actual,OK noPolicy,OK drug new five,OK drug new fifteen,OK drug new twentyFive,OK drug new fifty,OK property new five,OK property new fifteen,OK property new twentyFive,OK property new fifty,OK violent new five,OK violent new fifteen,OK violent new twentyFive,OK violent new fifty,OK nonviolent new five,OK nonviolent new fifteen,OK nonviolent new twentyFive,OK nonviolent new fifty,OK all new five,OK all new fifteen,OK all new twentyFive,OK all new fifty,OK revocation new five,OK revocation new fifteen,OK revocation new twentyFive,OK revocation new fifty,OK drug length five,OK drug length fifteen,OK drug length twentyFive,OK drug length fifty,OK property length five,OK property length fifteen,OK property length twentyFive,OK property length fifty,OK violent length five,OK violent length fifteen,OK violent length twentyFive,OK violent length fifty,OK nonviolent length five,OK nonviolent length fifteen,OK nonviolent length twentyFive,OK nonviolent length fifty,OK all length five,OK all length fifteen,OK all length twentyFive,OK all length fifty,OK revocation length five,OK revocation length fifteen,OK revocation length twentyFive,OK revocation length fifty
Jun-13,,26029,26025,26018,26010,25991,26026,26019,26013,25997,26026,26020,26014,26000,26020,26003,25986,25942,26017,25994,25971,25913,26026,26020,26013,25998,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157,26028.98157
Dec-13,,25932,25921,25900,25879,25827,25923,25905,25888,25844,25924,25907,25890,25848,25908,25860,25813,25693,25900,25835,25771,25609,25923,25906,25889,25846,25927.99206,25919.98329,25911.88428,25891.23181,25928.66111,25922.0017,25915.26724,25898.09439,25929.17418,25923.54953,25917.8615,25903.35702,25922.977,25904.85383,25886.52645,25839.79164,25920.18811,25896.44028,25872.42487,25811.18558,25928.62491,25921.89249,25915.0842,25897.72308
Jun-14,,25830,25810,25771,25732,25634,25813,25781,25748,25667,25813,25781,25748,25667,25786,25698,25610,25390,25769,25649,25529,25228,25814,25782,25750,25670,25818.50574,25796.14066,25773.37597,25714.63626,25820.43947,25801.9949,25783.22323,25734.79821,25821.42332,25804.96337,25788.1992,25744.89569,25804.74784,25754.50722,25703.37565,25571.47233,25796.62914,25729.92856,25662.03283,25486.826,25820.26924,25801.47986,25782.35742,25733.02828
Dec-14,,25723,25693,25632,25572,25421,25698,25648,25598,25472,25697,25645,25593,25462,25655,25520,25385,25046,25629,25442,25254,24785,25699,25650,25601,25478,25702.64276,25660.96135,25618.29277,25507.03003,25706.34484,25672.20561,25637.26976,25546.22791,25707.37035,25675.27003,25642.35459,25556.26183,25677.39634,25584.36321,25489.1601,25241.06758,25661.64136,25536.50792,25408.38936,25074.20408,25705.95318,25671.01988,25635.27527,25542.14431
Jun-15,,25614,25572,25487,25403,25192,25579,25509,25439,25265,25576,25500,25425,25235,25520,25332,25143,24673,25482,25218,24954,24294,25580,25512,25444,25274,25582.18403,25517.37631,25450.70428,25275.2256,25588.06089,25535.27865,25481.01063,25338.33848,25588.43856,25536.28476,25482.46163,25339.9694,25543.45117,25399.6053,25251.71461,24862.92694,25517.97306,25321.9734,25120.25957,24588.97967,25587.40985,25533.31176,25477.70954,25331.62262
Dec-15,,25503,25448,25338,25228,24952,25457,25367,25276,25049,25452,25349,25247,24991,25380,25136,24891,24278,25329,24982,24635,23766,25459,25370,25282,25061,25458.59809,25367.79888,25273.98759,25025.0601,25466.96194,25393.34424,25317.35163,25116.04256,25465.83627,25389.58998,25310.42051,25098.35432,25404.94849,25204.37974,24997.35368,24448.99369,25367.86442,25091.04938,24804.85385,24044.42767,25466.08016,25390.69647,25312.93735,25107.23589
Jun-16,,25391,25322,25185,25048,24705,25334,25221,25108,24826,25325,25193,25061,24731,25239,24935,24630,23870,25173,24736,24300,23209,25336,25227,25118,24844,25333.07448,25214.18708,25090.90524,24761.45752,25344.15109,25248.09628,25148.60769,24883.34,25340.57037,25236.54564,25127.90231,24833.55896,25263.507,25001.96989,24731.11372,24009.07931,25213.12216,24847.56032,24468.06081,23451.68306,25343.13691,25245.09136,25143.67237,24873.94162
Dec-16,,25279,25196,25031,24866,24452,25211,25075,24939,24599,25197,25032,24868,24457,25096,24731,24365,23452,25014,24484,23954,22630,25213,25083,24952,24625,25206.55945,25058.10538,24903.68349,24488.50243,25220.49837,25100.86307,24976.59872,24643.43928,25213.46567,25078.30637,24936.36131,24547.52486,25120.39585,24794.94674,24456.96531,23551.12551,25055.1875,24594.57909,24114.65259,22819.97635,25219.51471,25098.03366,24972.11158,24635.88389
Jun-17,,25167,25070,24876,24682,24198,25087,24928,24768,24370,25067,24868,24669,24172,24953,24525,24098,23029,24853,24227,23600,22034,25091,24939,24787,24406,25079.79145,24900.78368,24714.08804,24209.52163,25096.67708,24952.67015,24802.73424,24398.87025,25085.1868,24915.84208,24737.05194,24241.9915,24976.59495,24585.29833,24177.99816,23081.45316,24895.19682,24334.55549,23748.46518,22156.85974,25095.9417,24950.7281,24799.99093,24396.42587
Dec-17,,25055,24944,24721,24499,23942,24964,24780,24597,24140,24937,24702,24467,23878,24810,24319,23829,22603,24692,23966,23240,21426,24968,24795,24622,24189,24953.3347,24743.17186,24523.49529,23927.17087,24973.19706,24804.29522,24628.08728,24151.58794,24956.26051,24749.95986,24531.04798,23918.49949,24832.84775,24374.53997,23896.58135,22604.99748,24734.03508,24069.42665,23372.55615,21468.42378,24972.97108,24804.09484,24628.64496,24158.20575
Jun-18,,24944,24819,24567,24316,23687,24841,24634,24427,23909,24808,24534,24260,23575,24668,24114,23561,22177,24531,23703,22876,20808,24847,24653,24459,23974,24827.60969,24585.98896,24332.9577,23643.52368,24850.4344,24656.31546,24453.45811,23903.06713,24827.09716,24581.3256,24319.26256,23578.39721,24689.70661,24163.80759,23614.50096,22125.52764,24572.38199,23800.71141,22989.34174,20759.50306,24851.01057,24658.81553,24459.06661,23923.20966
Dec-18,,24835,24695,24414,24134,23433,24719,24488,24257,23680,24678,24364,24050,23266,24527,23910,23294,21753,24370,23439,22509,20184,24728,24513,24298,23762,24702.92034,24429.76657,24143.26264,23360.15939,24728.65731,24509.14777,24279.42857,23654.38747,24698.01032,24410.48459,24102.46795,23222.85049,24547.57139,23953.93589,23333.07715,21645.84907,24410.75157,23529.59034,22600.71496,20033.86942,24730.34922,24515.37578,24291.96454,23692.85515
Jun-19,,24726,24572,24263,23954,23182,24599,24344,24089,23451,24549,24194,23838,22950,24387,23708,23029,21331,24209,23175,22141,19555,24609,24375,24140,23553,24579.47737,24274.88647,23954.9841,23078.24784,24608.0483,24363.08251,24106.40779,23406.30893,24569.23442,24237.88027,23881.31445,22852.85458,24406.72166,23745.52318,23053.26257,21167.9867,24249.52552,23256.97289,22208.14647,19294.41072,24611.18087,24374.10318,24127.81606,23468.07979
Dec-19,,24619,24451,24113,23776,22933,24480,24201,23921,23224,24420,24022,23624,22630,24249,23507,22766,20913,24050,22910,21771,18923,24492,24238,23984,23349,24457.41831,24121.61247,23768.52732,22798.62839,24488.72272,24218.31143,23934.67015,23159.33777,24440.93998,24063.87118,23656.34799,22469.2482,24267.34345,23538.98457,22775.72423,20693.34757,24088.98095,22983.55328,21812.76974,18543.29329,24493.62441,24235.20055,23966.91462,23249.42973
Jun-20,,24513,24331,23965,23600,22687,24362,24059,23756,22998,24293,23851,23409,22305,24112,23309,22506,20499,23891,22646,21402,18290,24377,24104,23831,23149,24336.82404,23970.11714,23584.16659,22521.88119,24370.74416,24074.95056,23764.38645,22913.78302,24313.24667,23888.7458,23428.02614,22072.72912,24129.55103,23334.59513,22500.91049,20222.86192,23929.31334,22709.85657,21415.45227,17782.10669,24377.74082,24098.77421,23809.41111,23037.14417
Dec-20,,24409,24213,23820,23427,22444,24245,23919,23592,22774,24166,23679,23193,21976,23977,23113,22249,20090,23734,22383,21033,17657,24263,23972,23681,22954,24217.73241,23820.50367,23402.07658,22248.38957,24254.137,23933.05855,23595.6491,22669.80389,24186.23428,23712.73529,23196.73249,21663.87069,23993.40441,23132.52447,22229.10525,19757.10237,23770.65511,22436.27619,21016.85417,17011.98948,24263.54721,23964.85766,23655.34905,22831.23232
Jun-21,,24306,24096,23676,23255,22205,24130,23780,23429,22552,24040,23507,22975,21644,23844,22920,21995,19685,23578,22121,20665,17024,24151,23843,23534,22763,24100.14925,23672.82353,23222.35782,21978.39263,24138.89646,23792.65145,23428.49223,22427.44861,24059.95167,23536.0245,22962.78932,21243.13863,23858.92336,22932.86407,21960.47098,19296.38167,23613.09065,22163.10418,20617.47592,16233.73591,24151.02825,23833.43093,23504.69368,22631.54067
Dec-21,,24204,23980,23534,23087,21970,24017,23642,23268,22332,23914,23336,22757,21310,23712,22728,21745,19286,23423,21860,20298,16392,24041,23716,23390,22576,23984.05709,23527.0905,23045.05703,21712.02782,24024.99654,23653.71421,23262.90751,22186.68537,23934.42417,23358.76106,22726.46854,20810.90755,23726.09835,22735.6486,21695.08236,18840.83031,23456.6682,21890.55534,20217.69659,15447.88355,24040.14528,23704.43604,23357.35547,22437.80916
