date,KY actual,KY noPolicy,KY drug new five,KY drug new fifteen,KY drug new twentyFive,KY drug new fifty,KY property new five,KY property new fifteen,KY property new twentyFive,KY property new fifty,KY violent new five,KY violent new fifteen,KY violent new twentyFive,KY violent new fifty,KY nonviolent new five,KY nonviolent new fifteen,KY nonviolent new twentyFive,KY nonviolent new fifty,KY all new five,KY all new fifteen,KY all new twentyFive,KY all new fifty,KY revocation new five,KY revocation new fifteen,KY revocation new twentyFive,KY revocation new fifty,KY drug length five,KY drug length fifteen,KY drug length twentyFive,KY drug length fifty,KY property length five,KY property length fifteen,KY property length twentyFive,KY property length fifty,KY violent length five,KY violent length fifteen,KY violent length twentyFive,KY violent length fifty,KY nonviolent length five,KY nonviolent length fifteen,KY nonviolent length twentyFive,KY nonviolent length fifty,KY all length five,KY all length fifteen,KY all length twentyFive,KY all length fifty,KY revocation length five,KY revocation length fifteen,KY revocation length twentyFive,KY revocation length fifty
Dec-10,20757.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-11,22942.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-11,21813.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-12,23222.9988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-12,23222.9988,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223,23223
Jun-13,,23190,23183,23167,23152,23114,23183,23169,23156,23121,23187,23182,23177,23163,23172,23135,23098,23007,23169,23127,23085,22980,23184,23170,23157,23124,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122,23190.16122
Dec-13,,23215,23196,23157,23119,23022,23197,23161,23125,23034,23207,23192,23176,23138,23168,23074,22980,22744,23160,23051,22941,22666,23198,23163,23128,23040,23207.55143,23192.06519,23176.40446,23136.46959,23208.37292,23194.54347,23180.5582,23144.89575,23212.55191,23207.15067,23201.68857,23187.76022,23196.79208,23159.60633,23122.00159,23026.10948,23194.11397,23151.52698,23108.46014,22998.63969,23208.77306,23195.75062,23182.58144,23149.00005
Jun-14,,23272,23239,23172,23106,22939,23240,23176,23112,22953,23258,23228,23198,23125,23190,23026,22862,22452,23176,22982,22788,22304,23241,23178,23115,22958,23252.86729,23213.37816,23173.24799,23069.99983,23254.51247,23218.3432,23181.57282,23086.904,23264.69252,23249.11536,23233.25316,23192.29276,23225.15423,23129.56196,23032.40514,22782.37772,23217.46993,23106.3005,22993.28148,22702.29366,23255.23152,23220.50865,23185.19575,23094.21905
Dec-14,,23347,23299,23201,23104,22861,23300,23204,23109,22870,23324,23277,23230,23112,23227,22985,22744,22141,23203,22915,22627,21906,23300,23205,23110,22873,23313.66603,23245.50006,23176.00044,22996.10914,23315.76334,23251.80791,23186.53885,23017.30085,23332.54877,23302.58029,23271.86554,23191.59919,23265.2892,23098.92731,22929.25277,22489.79542,23250.57534,23054.24497,22853.85568,22334.13198,23316.53795,23254.11226,23190.34453,23024.71375
Jun-15,,23432,23367,23238,23109,22786,23367,23238,23108,22785,23398,23331,23264,23096,23270,22947,22624,21817,23237,22846,22456,21480,23367,23237,23107,22781,23383.07599,23283.66506,23182.09111,22918.13335,23385.09664,23289.67866,23192.02546,22937.48487,23408.49356,23360.41657,23310.84421,23179.81893,23311.68961,23067.10471,22817.04878,22166.51012,23288.18803,22995.52615,22695.89785,21914.33392,23385.62049,23291.15711,23194.32445,22941.15996
Dec-15,,23522,23441,23280,23118,22713,23440,23274,23108,22695,23477,23387,23297,23072,23318,22910,22502,21481,23273,22775,22277,21031,23438,23270,23102,22683,23457.36819,23325.29258,23190.15459,22838.07148,23458.72623,23329.19346,23196.34681,22848.70754,23488.47839,23419.01912,23346.99457,23154.55989,23361.38203,23033.83989,22698.40843,21823.0387,23327.56569,22930.56428,22523.10828,21455.30386,23458.70993,23328.92515,23195.50959,22844.84156
Jun-16,,23616,23518,23323,23128,22641,23514,23311,23108,22599,23558,23444,23329,23042,23368,22872,22377,21138,23311,22700,22090,20563,23512,23304,23096,22577,23534.58173,23369.04567,23199.51772,22757.10763,23534.67673,23368.9691,23198.74739,22751.95592,23570.44595,23476.72509,23379.02952,23115.31299,23412.82658,22999.09621,22574.89103,21465.38586,23367.37001,22859.91878,22338.01803,20964.79633,23533.86943,23366.1488,23193.33639,22737.11477
Dec-16,,23712,23597,23369,23141,22570,23590,23348,23105,22499,23641,23499,23358,23004,23419,22834,22249,20786,23348,22622,21895,20079,23587,23337,23088,22464,23613.74623,23414.29196,23209.90618,22675.96022,23611.97889,23408.37678,23198.95904,22647.96117,23653.44005,23532.92937,23406.68729,23062.56663,23465.28759,22962.96497,22447.46212,21096.9305,23407.04145,22784.20815,22142.46322,20447.81095,23610.17216,23402.33033,23187.76132,22619.18922
Jun-17,,23809,23678,23416,23154,22499,23668,23384,23101,22393,23724,23555,23385,22961,23471,22795,22119,20428,23386,22540,21694,19580,23663,23370,23077,22345,23694.44243,23460.79474,23221.27386,22595.09548,23690.2182,23447.19474,23196.96169,22537.24675,23737.10725,23587.59119,23430.24067,22997.31429,23518.4753,22925.60561,22316.74842,20719.54351,23446.4444,22704.05865,21937.85094,19907.71965,23687.24243,23437.36947,23178.9757,22492.0595
Dec-17,,23908,23760,23464,23169,22429,23745,23420,23095,22282,23809,23609,23410,22913,23524,22755,21986,20063,23424,22456,21488,19068,23739,23401,23063,22219,23776.55442,23508.53616,23233.70272,22514.84849,23769.28242,23485.41608,23192.85534,22420.18012,23821.4186,23640.96036,23450.22574,22920.78307,23572.34293,22887.20815,22183.178,20334.23656,23485.66725,22620.07423,21725.30946,19346.92535,23765.00047,23471.36174,23167.25918,22356.50314
Jun-18,,24009,23844,23514,23184,22360,23824,23456,23087,22166,23894,23664,23434,22860,23577,22714,21850,19692,23462,22369,21276,18544,23816,23432,23048,22087,23860.13042,23557.6164,23247.34378,22435.48724,23849.22078,23523.14311,23186.79251,22297.01554,23906.5149,23693.42653,23467.29357,22834.28615,23626.97257,22847.97079,22047.0577,19941.53153,23524.91091,22532.82076,21505.7747,18767.24111,23843.52121,23504.49074,23152.9073,22213.10386
Dec-18,,24111,23929,23565,23202,22293,23904,23491,23078,22045,23980,23719,23458,22805,23631,22672,21713,19315,23501,22280,21060,18009,23895,23462,23030,21949,23945.30502,23608.19675,23262.38284,22357.24446,23930.16619,23560.53014,23178.94347,22167.92564,23992.62137,23745.43738,23482.13074,22739.14454,23682.51168,22808.08769,21908.61655,19541.66711,23564.42744,22442.81945,21280.04168,18170.10604,23922.95697,23536.97207,23136.19803,22062.28107
Jun-19,,24215,24016,23618,23221,22226,23985,23526,23067,21919,24068,23775,23481,22748,23686,22630,21573,18932,23540,22190,20840,17465,23974,23492,23010,21806,24032.25623,23660.46788,23279.02087,22280.33255,24012.29255,23597.75294,23169.47897,22033.02325,24080.00125,23797.4553,23495.41811,22636.64755,23739.13833,22767.74279,21768.03067,19134.71282,23604.48723,22350.54573,21048.79643,17556.70802,24003.4956,23569.02526,23117.37833,21904.31763
Dec-19,,24321,24105,23673,23241,22162,24067,23561,23055,21789,24157,23831,23505,22689,23743,22587,21432,18543,23580,22098,20616,16911,24054,23521,22989,21657,24121.1822,23714.63276,23297.46337,22204.95048,24095.79203,23634.99319,23158.56245,21892.37598,24168.93121,23849.9355,23507.81084,22528.03461,23797.04274,22727.10758,21625.43815,18720.63121,23645.36215,22256.43129,20812.63719,16928.05403,24085.3386,23600.86077,23096.66081,21739.38337
Jun-20,,24429,24196,23730,23264,22099,24151,23596,23041,21653,24249,23889,23529,22630,23801,22545,21288,18148,23621,22005,20389,16349,24136,23551,22966,21502,24212.28906,23770.89781,23317.91505,22131.28729,24180.86319,23672.4309,23146.34706,21746.01567,24259.68888,23903.31596,23519.93007,22414.48878,23856.41789,22686.34091,21480.94842,18299.31175,23687.31751,22160.86761,20572.08923,16285.01127,24168.69006,23632.67494,23074.22504,21567.55358
Dec-20,,24539,24289,23789,23289,22038,24237,23632,23026,21514,24343,23949,23555,22571,23860,22502,21143,17747,23663,21911,20159,15779,24220,23580,22941,21343,24305.78499,23829.46889,23340.57759,22059.52422,24267.70544,23710.24138,23132.97518,21593.94451,24352.54725,23958.01379,23532.36084,22297.1364,23917.45526,22645.58994,21334.64847,17870.58906,23730.60902,22064.21024,20327.61582,15628.33197,24253.75176,23664.64905,23050.22076,21388.82333
Jun-21,,24653,24385,23851,23316,21980,24324,23668,23011,21369,24439,24011,23583,22514,23921,22459,20996,17340,23707,21817,19927,15201,24305,23610,22915,21177,24401.87776,23890.54986,23365.6493,21989.83658,24356.51672,23748.59447,23118.5792,21436.13897,24447.77261,24014.42507,23545.65332,22177.04999,23980.34339,22604.99171,21186.60728,17434.25266,23775.48234,21966.78312,20079.62694,14958.66898,24340.72144,23696.95032,23024.77183,21203.11809
Dec-21,,24769,24484,23915,23346,21924,24414,23704,22995,21220,24538,24075,23613,22458,23984,22416,20848,16926,23753,21723,19692,14615,24392,23640,22888,21006,24500.77419,23954.34264,23393.32568,21922.39541,24447.49316,23787.65505,23103.28287,21272.55224,24545.62458,24072.92642,23560.32556,22055.25246,24045.26787,22564.67492,21036.87907,16990.05182,23822.17394,21868.88283,19828.48612,14276.58576,24429.79285,23729.73387,22997.97995,21010.30143
