date,NJ actual,NJ noPolicy,NJ drug new five,NJ drug new fifteen,NJ drug new twentyFive,NJ drug new fifty,NJ property new five,NJ property new fifteen,NJ property new twentyFive,NJ property new fifty,NJ violent new five,NJ violent new fifteen,NJ violent new twentyFive,NJ violent new fifty,NJ nonviolent new five,NJ nonviolent new fifteen,NJ nonviolent new twentyFive,NJ nonviolent new fifty,NJ all new five,NJ all new fifteen,NJ all new twentyFive,NJ all new fifty,NJ revocation new five,NJ revocation new fifteen,NJ revocation new twentyFive,NJ revocation new fifty,NJ drug length five,NJ drug length fifteen,NJ drug length twentyFive,NJ drug length fifty,NJ property length five,NJ property length fifteen,NJ property length twentyFive,NJ property length fifty,NJ violent length five,NJ violent length fifteen,NJ violent length twentyFive,NJ violent length fifty,NJ nonviolent length five,NJ nonviolent length fifteen,NJ nonviolent length twentyFive,NJ nonviolent length fifty,NJ all length five,NJ all length fifteen,NJ all length twentyFive,NJ all length fifty,NJ revocation length five,NJ revocation length fifteen,NJ revocation length twentyFive,NJ revocation length fifty
11-Jun,24313.0049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Dec,24544.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jun,23336.0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Dec,23336.0022,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336
13-Jun,,23074,23070,23061,23052,23030,23071,23065,23060,23045,23070,23060,23051,23028,23064,23045,23025,22975,23060,23031,23002,22929,23071,23064,23057,23039,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645,23074.28645
13-Dec,,22796,22785,22763,22741,22685,22789,22774,22759,22722,22783,22757,22731,22665,22771,22720,22669,22542,22758,22681,22604,22411,22788,22770,22752,22707,22791.70362,22782.16948,22772.52791,22747.9419,22793.37407,22787.2089,22780.97426,22765.07594,22791.56393,22781.74806,22771.82158,22746.50907,22786.21386,22765.60792,22744.7698,22691.6326,22781.34682,22750.92501,22720.16042,22641.71071,22793.00244,22786.08777,22779.09518,22761.26409
14-Jun,,22499,22480,22442,22404,22310,22486,22460,22435,22371,22474,22424,22374,22249,22454,22366,22278,22057,22430,22291,22153,21808,22483,22453,22422,22345,22486.62353,22462.38827,22437.75233,22374.33442,22490.83677,22475.13394,22459.17501,22418.10988,22484.67255,22456.45348,22427.72119,22353.54143,22472.23791,22418.8726,22364.61695,22224.91447,22458.31617,22376.73179,22293.74384,22079.86161,22490.01928,22472.66529,22455.03324,22409.6859
14-Dec,,22184,22157,22103,22049,21914,22165,22128,22091,21999,22145,22066,21987,21790,22119,21990,21861,21538,22080,21872,21664,21144,22162,22117,22072,21959,22163.47971,22121.84816,22079.36362,21969.21266,22170.67608,22143.67004,22116.13126,22044.82953,22157.42603,22103.34553,22047.93676,21903.22609,22138.04497,22044.75147,21949.51612,21702.45305,22111.48614,21964.11213,21813.46802,21421.69428,22169.24528,22139.33824,22108.84428,22029.90387
15-Jun,,21857,21822,21752,21682,21508,21833,21784,21735,21613,21801,21689,21576,21296,21771,21599,21428,20999,21715,21431,21147,20437,21827,21767,21707,21556,21827.32756,21767.20822,21705.68275,21545.31577,21837.62734,21798.50332,21758.52151,21654.59015,21814.6357,21728.26417,21639.26602,21404.3288,21789.47078,21652.27634,21511.79516,21145.25365,21747.22887,21523.66291,21294.18358,20692.70485,21835.29698,21791.41589,21746.54219,21629.735
15-Dec,,21521,21479,21394,21309,21097,21491,21431,21370,21220,21446,21297,21147,20774,21414,21200,20986,20450,21339,20976,20612,19703,21483,21407,21331,21141,21482.44923,21403.85345,21323.2637,21112.44161,21495.71618,21444.22791,21391.5446,21254.28128,21460.52926,21336.3687,21207.76851,20864.91371,21431.2958,21248.36076,21060.61266,20568.61698,21370.79843,21063.70284,20747.35454,19912.50407,21492.1212,21433.23699,21372.86525,21214.93976
16-Jun,,21179,21130,21032,20933,20687,21144,21072,21000,20821,21084,20895,20705,20230,21051,20795,20539,19899,20956,20511,20065,18950,21133,21041,20948,20717,21132.17671,21035.88878,20937.04662,20677.93732,21148.07003,21084.30975,21019.0306,20848.77414,21098.49085,20931.8832,20758.50821,20292.05657,21067.17597,20838.10961,20602.62399,19983.57903,20986.26785,20590.59384,20181.73323,19096.23663,21142.80527,21068.13446,20991.39812,20789.7507
16-Dec,,20834,20779,20669,20558,20282,20793,20710,20628,20421,20718,20485,20252,19670,20686,20389,20093,19351,20570,20040,19511,18187,20780,20670,20560,20287,20779.03119,20666.37881,20550.69223,20247.23474,20797.04993,20721.30794,20643.75219,20441.45504,20731.15446,20518.19628,20295.65272,19691.92135,20699.84566,20425.24836,20142.62863,19398.05088,20596.73814,20109.18267,19604.01937,18255.71026,20789.69653,20698.62014,20604.82278,20357.29552
17-Jun,,20487,20427,20307,20186,19885,20441,20347,20254,20021,20348,20071,19793,19098,20320,19984,19648,18809,20181,19567,18954,17420,20424,20297,20170,19853,20424.90715,20297.59902,20166.89835,19824.31355,20444.42697,20357.10563,20267.71225,20034.66409,20360.55951,20098.02313,19822.63583,19069.90487,20331.34071,20012.49187,19684.0834,18817.67636,20204.56684,19623.18161,19019.38584,17400.24785,20434.56789,20326.58121,20215.14601,19919.9021
17-Dec,,20140,20076,19947,19819,19497,20088,19985,19881,19623,19978,19653,19329,18517,19954,19581,19208,18276,19791,19094,18397,16654,20068,19923,19779,19417,20071.23015,19931.24092,19787.65276,19412.07063,20091.5328,19993.09423,19892.36426,19630.01867,19988.29037,19673.55126,19342.30458,18430.76824,19963.18075,19601.82406,19229.48155,18246.46275,19811.55523,19135.45943,18431.87025,16537.31509,20078.76065,19953.43955,19823.87488,19479.31161
18-Jun,,19793,19726,19591,19457,19121,19736,19623,19510,19227,19607,19234,18862,17930,19589,19182,18774,17755,19403,18623,17843,15892,19712,19549,19387,18980,19719.07795,19568.56688,19414.42341,19012.60408,19739.37413,19630.30875,19518.77072,19228.64124,19615.58548,19246.55552,18857.03583,17778.73914,19596.50587,19194.70097,18780.62543,17687.24013,19419.08946,18648.25461,17844.65938,15672.97739,19723.2942,19580.27114,19432.14556,19036.8279
18-Dec,,19447,19378,19240,19102,18757,19386,19264,19141,18835,19237,18815,18393,17339,19227,18787,18347,17246,19016,18155,17293,15138,19357,19176,18995,18543,19369.26968,19210.52358,19048.29813,18627.4279,19388.71653,19269.5246,19147.71436,18831.31582,19243.41912,18818.4852,18368.82505,17117.58704,19232.17612,18792.1959,18338.82061,17141.99421,19028.24394,18163.32979,17260.29435,14812.22995,19368.94709,19207.89342,19040.81683,18593.42428
19-Jun,,19104,19034,18894,18755,18407,19038,18907,18775,18447,18868,18396,17925,16746,18868,18398,17927,16750,18633,17690,16748,14393,19004,18805,18605,18107,19022.43099,18857.8244,18690.08619,18257.63211,19040.14513,18911.32608,18779.7756,18438.59372,18872.56193,18390.52951,17879.35365,16450.67705,18870.84336,18395.10279,17905.01392,16612.10658,18639.85655,17682.08355,16680.81883,13959.23489,19016.31628,18836.92903,18650.53821,18149.8217
19-Dec,,18762,18693,18554,18416,18070,18692,18552,18413,18063,18501,17979,17457,16153,18513,18014,17515,16269,18252,17231,16211,13660,18653,18435,18217,17671,18679.04143,18511.00911,18340.39195,17904.0011,18694.10863,18556.15521,18415.38663,18050.86433,18503.62572,17963.66697,17390.04022,15781.00792,18513.00318,18004.01013,17479.89171,16098.52761,18254.58366,17205.63185,16107.88668,13117.49029,18665.86054,18467.85245,18261.79994,17706.54727
20-Jun,,18423,18356,18220,18085,17747,18349,18202,18054,17685,18137,17564,16992,15560,18161,17637,17113,15802,17875,16778,15681,12939,18305,18067,17830,17237,18339.46919,18170.48725,17999.66822,17567.10026,18350.95138,18204.34659,18054.86943,17668.40223,18137.097,17538.70315,16902.08013,15111.23878,18159.03274,17619.35392,17063.94994,15601.90034,17872.94063,16734.86796,15542.84097,12289.95001,18317.93247,18101.02445,17874.97009,17263.97854
20-Dec,,18087,18022,17893,17763,17439,18010,17854,17699,17311,17775,17152,16528,14970,17814,17266,16719,15350,17502,16331,15160,12233,17959,17702,17446,16805,18003.99664,17836.56973,17668.2549,17247.33864,18010.93707,17856.1527,17698.46274,17291.39884,17773.36225,17116.29982,16416.47683,14443.70802,17809.2184,17241.45598,16657.54447,15122.64902,17495.33189,16270.50704,14986.77255,11479.10828,17972.80223,17736.71773,17490.32224,16822.37749
21-Jun,,17754,17694,17572,17450,17146,17673,17511,17349,16943,17417,16743,16068,14382,17470,16902,16334,14914,17133,15890,14648,11541,17616,17340,17064,16374,17672.83945,17509.49209,17346.40716,16945.01392,17674.26629,17511.76237,17346.34151,16919.98371,17412.72724,16696.99799,15934.06695,13780.4471,17463.7763,16870.5518,16260.92724,14661.04208,17122.07361,15813.11986,14440.56427,10687.05926,17630.67535,17375.13621,17108.05645,16381.91654
21-Dec,,17425,17369,17258,17147,16868,17340,17171,17002,16580,17062,16337,15611,13797,17132,16545,15959,14493,16769,15457,14145,10865,17277,16981,16685,15945,17346.1608,17189.43174,17034.31594,16660.34423,17341.0898,17171.31462,16998.63111,16554.2394,17055.43196,16281.23627,15455.54099,13123.1913,17122.86766,16506.81096,15874.2725,14217.23692,16753.41099,15363.15861,13904.92487,9915.539598,17291.70624,17016.42961,16728.31502,15942.6987
