date,AL actual,AL noPolicy,AL drug new five,AL drug new fifteen,AL drug new twentyFive,AL drug new fifty,AL property new five,AL property new fifteen,AL property new twentyFive,AL property new fifty,AL violent new five,AL violent new fifteen,AL violent new twentyFive,AL violent new fifty,AL nonviolent new five,AL nonviolent new fifteen,AL nonviolent new twentyFive,AL nonviolent new fifty,AL all new five,AL all new fifteen,AL all new twentyFive,AL all new fifty,AL revocation new five,AL revocation new fifteen,AL revocation new twentyFive,AL revocation new fifty,AL drug length five,AL drug length fifteen,AL drug length twentyFive,AL drug length fifty,AL property length five,AL property length fifteen,AL property length twentyFive,AL property length fifty,AL violent length five,AL violent length fifteen,AL violent length twentyFive,AL violent length fifty,AL nonviolent length five,AL nonviolent length fifteen,AL nonviolent length twentyFive,AL nonviolent length fifty,AL all length five,AL all length fifteen,AL all length twentyFive,AL all length fifty,AL revocation length five,AL revocation length fifteen,AL revocation length twentyFive,AL revocation length fifty
Jun-05,24802.9994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-05,24462.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-06,26181.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-06,24968.9987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-07,26519.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,25941.9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-08,27379.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-08,26584.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-09,27165.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-09,27082.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-10,26926.9988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-10,26541.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-11,26039.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-11,26108.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-12,24455.9994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-12,24455.9994,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456,24456
Jun-13,,24135,24129,24119,24108,24082,24129,24117,24106,24078,24132,24127,24122,24109,24123,24099,24076,24017,24120,24091,24063,23991,24133,24130,24126,24118,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517,24134.5517
Dec-13,,23785,23771,23743,23715,23645,23769,23739,23708,23631,23777,23763,23748,23712,23753,23690,23626,23468,23746,23668,23590,23395,23780,23771,23762,23739,23779.40595,23768.47722,23757.42535,23729.24309,23778.9484,23767.09689,23755.11184,23724.54997,23781.96268,23776.19038,23770.35304,23755.46782,23772.47487,23747.56749,23722.37946,23658.14999,23769.61277,23738.93309,23707.90772,23628.79303,23782.9611,23779.20243,23775.40141,23765.7088
Jun-14,,23415,23390,23340,23290,23165,23387,23331,23275,23136,23401,23373,23345,23276,23358,23244,23130,22845,23344,23202,23061,22707,23406,23390,23373,23332,23399.99352,23370.57732,23340.65467,23263.5342,23398.58768,23366.32018,23333.49202,23248.85932,23406.308,23389.66809,23372.72251,23328.95906,23381.28105,23313.95793,23245.47024,23068.92961,23373.07292,23289.10989,23203.67661,22983.37254,23409.43369,23399.13604,23388.65703,23361.63039
Dec-14,,23029,22992,22917,22843,22656,22987,22903,22818,22608,23007,22964,22920,22811,22944,22773,22601,22174,22922,22707,22492,21955,23017,22992,22967,22904,23003.25305,22950.31314,22896.21343,22755.59145,23000.4098,22941.6732,22881.62455,22725.41884,23013.6131,22981.65605,22948.89764,22863.26392,22969.45193,22847.79623,22723.44854,22400.1024,22953.76369,22800.15094,22643.04484,22234.06499,23020.04703,23001.22446,22981.96953,22931.82438
Jun-15,,22633,22583,22482,22381,22128,22576,22460,22345,22056,22602,22540,22478,22323,22517,22285,22052,21470,22486,22191,21897,21160,22616,22582,22548,22462,22594.30069,22514.66304,22432.99482,22219.31886,22589.55491,22500.19734,22408.49091,22168.2069,22608.40551,22557.29449,22504.57953,22365.17845,22543.24135,22359.51464,22171.03009,21677.52282,22518.26156,22283.42384,22042.22433,21409.31598,22619.32124,22590.62554,22561.1429,22483.73374
Dec-15,,22230,22166,22038,21909,21589,22156,22008,21860,21490,22189,22107,22024,21819,22082,21786,21490,20749,22041,21662,21284,20338,22208,22164,22120,22011,22176.92093,22068.76678,21957.56913,21665.22288,22169.8443,22047.13968,21920.83385,21588.02869,22194.11556,22120.59222,22044.32784,21840.43687,22107.26737,21856.81762,21599.16961,20921.04519,22071.48123,21747.50815,21413.59575,20531.58036,22210.63524,22171.22455,22130.59009,22023.18384
Jun-16,,21821,21743,21588,21433,21044,21731,21549,21368,20915,21769,21666,21562,21302,21641,21281,20920,20019,21589,21125,20661,19500,21794,21741,21688,21554,21753.92518,21616.40724,21474.76602,21101.13196,21744.13203,21586.41297,21423.70222,20993.15979,21773.36697,21674.71661,21571.84689,21293.98381,21664.94797,21345.37492,21015.9604,20145.68791,21617.11258,21198.88917,20766.60493,19618.46936,21796.53013,21745.96011,21693.67405,21554.72719
Dec-16,,21409,21318,21135,20953,20497,21302,21087,20872,20334,21346,21220,21093,20778,21197,20772,20348,19287,21134,20583,20032,18655,21378,21315,21252,21094,21327.41332,21160.36916,20988.11916,20532.79019,21314.56165,21120.93837,20920.86673,20389.8718,21348.1876,21222.20419,21090.19302,20730.16826,21218.82079,20829.34494,20427.33436,19362.62115,21157.94188,20642.48263,20108.46087,18683.7229,21378.93,21317.06502,21252.96361,21081.91216
Jun-17,,20995,20890,20681,20472,19950,20871,20622,20373,19751,20920,20771,20621,20248,20751,20263,19776,18557,20676,20039,19402,17810,20959,20886,20814,20633,20898.96393,20702.70485,20500.20336,19964.34188,20882.75337,20652.90052,20415.13649,19782.86076,20920.16224,20765.11379,20601.92505,20152.88111,20770.77742,20311.76803,19837.60256,18579.9948,20696.08739,20082.02955,19444.67534,17738.02365,20959.30293,20886.24421,20810.42574,20607.49429
Dec-17,,20580,20462,20227,19993,19406,20439,20156,19874,19169,20493,20320,20148,19716,20305,19756,19206,17833,20219,19496,18774,16969,20539,20458,20377,20174,20469.77266,20244.93024,20012.88826,19398.72206,20449.94057,20183.93686,19908.59908,19175.595,20490.54375,20305.1382,20109.21381,19565.65224,20322.23462,19794.86036,19249.86962,17803.62367,20233.172,19520.39219,18779.47706,16789.66954,20538.7782,20454.80645,20367.5702,20133.60366
Jun-18,,20164,20034,19775,19515,18865,20007,19691,19376,18589,20066,19870,19674,19183,19859,19250,18641,17117,19761,18956,18150,16136,20119,20030,19940,19716,20040.75262,19788.16881,19527.5279,18837.96693,20017.06944,19715.27799,19402.80221,18570.59598,20060.3339,19843.68591,19613.92223,18971.71858,19874.25935,19280.23262,18666.34861,17037.5464,19770.44966,18959.77493,18116.12724,15845.12138,20118.23192,20023.76191,19925.55857,19661.87812
Dec-18,,19749,19607,19323,19040,18330,19575,19228,18880,18011,19639,19420,19201,18653,19415,18748,18080,16412,19306,18419,17532,15315,19700,19603,19505,19261,19612.60726,19333.25678,19045.10105,18283.45653,19584.87155,19247.8516,18898.89059,17969.66328,19630.34245,19381.94125,19117.6642,18374.07159,19427.65994,18769.05168,18088.59864,16284.47462,19308.89785,18401.8884,17457.1583,14909.44167,19698.34953,19593.89448,19485.28653,19193.56931
Jun-19,,19335,19182,18875,18568,17800,19145,18766,18386,17438,19214,18972,18730,18125,18973,18250,17526,15717,18852,17887,16921,14507,19282,19177,19072,18809,19185.88336,18880.81979,18566.31451,17736.10107,19153.91709,18782.35931,18397.70869,17374.05336,19201.23049,18920.909,18621.84829,17775.48997,18983.05252,18262.15985,17517.70249,15546.14779,18849.28538,17848.07121,16804.55315,13986.64012,19279.6717,19165.81555,19047.44591,18729.62702
Dec-19,,18922,18758,18429,18099,17277,18717,18306,17896,16869,18790,18526,18262,17602,18533,17756,16978,15035,18401,17360,16319,13715,18866,18754,18642,18362,18761.00952,18431.32845,18091.6783,17196.48111,18724.65372,18319.33344,17899.8777,16784.61983,18773.54253,18461.44775,18127.71068,17178.56204,18540.90954,17760.16216,16954.39829,14823.60847,18392.22208,17299.37993,16159.87898,13079.94052,18862.62802,18740.00405,18612.57164,18270.76601
Jun-20,,18511,18336,17986,17635,16759,18291,17850,17409,16306,18369,18083,17798,17086,18096,17267,16438,14365,17954,16839,15725,12939,18452,18334,18215,17919,18338.32428,17985.13863,17621.56016,16664.95059,18297.4353,17859.17895,17405.85279,16201.92235,18347.7303,18004.29519,17636.34013,16585.70081,18101.59512,17263.49024,16399.17644,14117.41167,17938.19545,16756.65546,15524.38659,12191.98251,18447.56199,18316.83639,18181.07725,17817.5185
Dec-20,,18102,17917,17546,17176,16249,17867,17396,16925,15748,17949,17644,17339,16575,17663,16784,15905,13707,17510,16326,15141,12181,18040,17916,17792,17482,17918.09669,17542.5206,17156.22464,16141.71088,17872.543,17402.20442,16915.9657,15626.30977,17924.1707,17550.08753,17148.69751,15999.15395,17665.39103,16772.44869,15852.35017,13427.78058,17487.59766,16220.57215,14899.08361,11324.97046,18034.74958,17896.60897,17753.28181,17370.2753
Jun-21,,17695,17500,17110,16720,15746,17445,16945,16446,15196,17533,17208,16884,16073,17232,16305,15379,13063,17070,15819,14568,11441,17630,17501,17372,17049,17500.54154,17103.68011,16695.86114,15626.86237,17450.20108,16948.64505,16430.45627,15057.98265,17503.17943,17099.37469,16665.63119,15421.0102,17232.5157,16287.24884,15314.10672,12754.71965,17040.7457,15691.6741,14284.78849,10480.78042,17624.41318,17479.55511,17329.43036,16929.3176
Dec-21,,17290,17086,16678,16270,15250,17026,16498,15970,14650,17119,16777,16435,15579,16804,15833,14861,12432,16633,15320,14006,10721,17223,17090,16956,16622,17085.83066,16668.77362,16240.6037,15120.43953,17030.58869,16498.67964,15949.49569,14497.03929,17085.02152,16652.63228,16187.88958,14853.20342,16803.13833,15808.03314,14784.54393,12098.09452,16597.89652,15170.4021,13682.17018,9661.034611,17216.7321,17065.85797,16909.70959,16494.84147
