date,ALL_STATES actual,ALL_STATES noPolicy,ALL_STATES drug new five,ALL_STATES drug new fifteen,ALL_STATES drug new twentyFive,ALL_STATES drug new fifty,ALL_STATES property new five,ALL_STATES property new fifteen,ALL_STATES property new twentyFive,ALL_STATES property new fifty,ALL_STATES violent new five,ALL_STATES violent new fifteen,ALL_STATES violent new twentyFive,ALL_STATES violent new fifty,ALL_STATES nonviolent new five,ALL_STATES nonviolent new fifteen,ALL_STATES nonviolent new twentyFive,ALL_STATES nonviolent new fifty,ALL_STATES all new five,ALL_STATES all new fifteen,ALL_STATES all new twentyFive,ALL_STATES all new fifty,ALL_STATES revocation new five,ALL_STATES revocation new fifteen,ALL_STATES revocation new twentyFive,ALL_STATES revocation new fifty,ALL_STATES drug length five,ALL_STATES drug length fifteen,ALL_STATES drug length twentyFive,ALL_STATES drug length fifty,ALL_STATES property length five,ALL_STATES property length fifteen,ALL_STATES property length twentyFive,ALL_STATES property length fifty,ALL_STATES violent length five,ALL_STATES violent length fifteen,ALL_STATES violent length twentyFive,ALL_STATES violent length fifty,ALL_STATES nonviolent length five,ALL_STATES nonviolent length fifteen,ALL_STATES nonviolent length twentyFive,ALL_STATES nonviolent length fifty,ALL_STATES all length five,ALL_STATES all length fifteen,ALL_STATES all length twentyFive,ALL_STATES all length fifty,ALL_STATES revocation length five,ALL_STATES revocation length fifteen,ALL_STATES revocation length twentyFive,ALL_STATES revocation length fifty
Dec-09,509891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-10,504546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-10,504406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-11,501036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-11,499862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-12,493735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-12,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735,493735
Jun-13,,492236,492146,491966,491785,491335,492135,491932,491729,491221,492155,491993,491831,491425,491987,491488,490990,489743,491906,491245,490584,488932,492137,491939,491741,491246,492236,492236,492236,492236,492236,492236,492236,492236,492236,492236,492236,492236,492236,492236,492236,492236,492236,492236,492236,492236,492236,492236,492236,492236
Dec-13,,490218,489992,489539,489086,487953,489957,489436,488915,487611,489988,489527,489067,487916,489581,488307,487032,483847,489351,487616,485881,481544,489955,489428,488902,487586,490127,489943,489757,489282,490117,489914,489708,489184,490132,489959,489783,489336,489968,489464,488955,487656,489882,489205,488520,486774,490123,489932,489739,489246
Jun-14,,488034,487646,486870,486094,484154,487578,486667,485755,483476,487597,486724,485850,483666,486924,484704,482485,476935,486487,483394,480300,472566,487559,486608,485658,483282,487805,487341,486870,485657,487776,487254,486724,485359,487788,487290,486783,485473,487397,486108,484798,481426,487152,485364,483546,478865,487783,487275,486757,485425
Dec-14,,485816,485252,484124,482997,480177,485140,483790,482440,479063,485124,483740,482355,478895,484179,480905,477631,469446,483487,478829,474171,462525,485091,483642,482193,478570,485423,484628,483816,481716,485366,484454,483524,481113,485347,484391,483412,480856,484709,482464,480174,474239,484240,481040,477770,469279,485364,484446,483509,481074
Jun-15,,483643,482896,481400,479905,476166,482731,480907,479083,474522,482655,480679,478703,473762,481442,477041,472639,461634,480454,474076,467698,451753,482639,480629,478620,473596,483075,481919,480737,477664,482980,481631,480250,476652,482897,481370,479796,475640,482017,478710,475326,466511,481271,476436,471479,458508,482957,481560,480127,476378
Dec-15,,481566,480630,478757,476885,472203,480404,478079,475754,469942,480248,477611,474974,468381,478775,473193,467610,453653,477457,469237,461017,440468,480255,477632,475009,468452,480814,479282,477713,473618,480673,478853,476986,472097,480496,478299,476022,469946,479388,474949,470396,458484,478317,471681,464852,446864,480619,478685,476695,471457
Jun-16,,479625,478497,476242,473987,468350,478201,475353,472505,465385,477947,474592,471237,462850,476223,469420,462616,445608,474545,464387,454229,428833,477983,474698,471414,463204,478685,476769,474804,469658,478490,476173,473792,467532,478192,475240,472166,463884,476871,471254,465482,450321,475439,466869,458023,434580,478394,475875,473276,466394
Dec-16,,477849,476529,473890,471250,464650,476154,472764,469374,460899,475789,471669,467548,457248,473821,465765,457708,437567,471761,459584,447407,416965,475854,471864,467874,457899,476720,474417,472051,465839,476464,473631,470714,463014,476022,472245,468294,457552,474506,467677,460648,442123,472679,462073,451093,421826,476315,473169,469915,461251
Jun-17,,476268,474755,471729,468704,461139,474293,470343,466393,456518,473806,468881,463957,451645,471599,462261,452923,429578,469137,454874,440612,404955,473899,469160,464422,452576,474950,472258,469490,462204,474624,471258,467786,458587,474020,469360,464465,451043,472324,464259,455944,433964,470076,457351,444141,408739,474413,470601,466648,456070
Dec-17,,474905,473199,469786,466374,457844,472641,468115,463588,452272,472025,466264,460504,446104,469582,458935,448289,421674,466701,450295,433889,392873,472140,466612,461083,447262,473398,470318,467147,458783,472995,469081,465036,454285,472215,466624,460729,444440,470351,461029,451406,425890,467661,452749,437230,395425,472711,468198,463505,450884
Jun-18,,473781,471882,468083,464284,454788,471221,466101,460981,448181,470470,463849,457228,440676,467791,455810,443830,413878,464480,445879,427277,380773,470601,464240,457880,441978,472086,468620,465047,455601,471599,467124,462490,450133,470633,464074,457134,437821,468610,458015,447061,417933,465462,448308,430415,381973,471233,465982,460509,445716
Dec-18,,472917,470824,466639,462453,451990,470051,464321,458591,444265,469166,461664,454162,435408,466246,452904,439562,406207,462495,441651,420807,368698,469299,462065,454830,436743,471035,467183,463210,452678,470457,465406,460169,446152,469298,461742,453723,431257,467122,455236,442932,410114,463503,444062,423738,368455,469999,463974,457680,440580
Jun-19,,472331,470045,465472,460900,449469,469152,462793,456435,440539,468132,459735,451337,430343,464965,450232,435500,398669,460766,437636,414506,356682,468255,460103,451951,431571,470263,466028,461654,450033,469588,463948,458091,442361,468232,459658,450532,424813,465906,452714,439039,402449,461807,440042,417240,354931,469026,462193,455035,435490
Dec-19,,472042,469562,464602,459642,447241,468540,461535,454530,437018,467390,458085,448781,425519,463965,447811,431657,391272,459313,433854,408396,344749,467486,458372,449258,426474,469789,465172,460397,447681,469010,462769,456275,438775,467458,457850,447598,418548,464980,450466,435398,394946,460395,436274,410953,341452,468335,460656,452593,430455
Jun-20,,472070,469395,464045,458696,445322,468234,460563,452891,433713,466960,456740,446520,420970,463265,445655,428044,384019,458155,430325,402495,332920,467009,456888,446766,421463,469632,464633,459457,445636,468742,461886,454740,435410,466995,456345,444954,412518,464364,448511,432025,387614,459289,432785,404910,328063,467943,459380,450368,425482
Dec-20,,472432,469562,463821,458080,443729,468253,459893,451534,430637,466862,455722,444581,416731,462880,443776,424672,376912,457310,427066,396821,321211,466844,455667,444490,416547,469811,464430,458852,443914,468804,461319,453506,432284,466866,455168,442632,406772,464075,446865,428940,380461,458509,429601,399140,314801,467869,458385,448377,420580
Jun-21,,473151,470084,463949,457814,442478,468616,459546,450476,427801,467119,455055,442992,412832,462831,442191,421551,369951,456799,424095,391392,309633,467010,454727,442444,411738,470346,464583,458601,442528,469216,461091,452592,429415,467093,454346,440663,401357,464136,445551,426159,373493,458079,426746,393671,301700,468134,457690,446639,415756
Dec-21,,474248,470982,464450,457918,441589,469345,459539,449734,425219,467754,454766,441778,409308,463137,440915,418692,363136,456643,421433,386222,298196,467528,454087,440647,407045,471260,465114,458724,441498,470002,461223,452024,426825,467700,453907,439077,396317,464569,444589,423704,366723,458021,424248,388532,288792,468761,457315,445174,411022
