date,TX actual,TX noPolicy,TX drug new five,TX drug new fifteen,TX drug new twentyFive,TX drug new fifty,TX property new five,TX property new fifteen,TX property new twentyFive,TX property new fifty,TX violent new five,TX violent new fifteen,TX violent new twentyFive,TX violent new fifty,TX nonviolent new five,TX nonviolent new fifteen,TX nonviolent new twentyFive,TX nonviolent new fifty,TX all new five,TX all new fifteen,TX all new twentyFive,TX all new fifty,TX revocation new five,TX revocation new fifteen,TX revocation new twentyFive,TX revocation new fifty,TX drug length five,TX drug length fifteen,TX drug length twentyFive,TX drug length fifty,TX property length five,TX property length fifteen,TX property length twentyFive,TX property length fifty,TX violent length five,TX violent length fifteen,TX violent length twentyFive,TX violent length fifty,TX nonviolent length five,TX nonviolent length fifteen,TX nonviolent length twentyFive,TX nonviolent length fifty,TX all length five,TX all length fifteen,TX all length twentyFive,TX all length fifty,TX revocation length five,TX revocation length fifteen,TX revocation length twentyFive,TX revocation length fifty,N24(t+1),N25(t+1)
Jun-11,156381.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-11,159195.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-12,153478.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-12,153478.002,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,153478,,
Jun-13,,153227,153193,153125,153056,152885,153190,153117,153043,152859,153203,153156,153109,152991,153133,152944,152756,152284,153109,152873,152638,152049,153202,153152,153101,152976,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,153227.0312,,
Dec-13,,152625,152541,152375,152208,151791,152535,152354,152174,151723,152557,152423,152289,151952,152389,151918,151447,150269,152322,151716,151110,149596,152551,152404,152257,151889,152591.2856,152523.8983,152455.7516,152281.9777,152588.3301,152514.9822,152440.8078,152251.663,152598.3731,152545.2799,152491.5884,152354.6753,152531.5555,152343.7042,152153.7362,151669.3178,152505.2301,152264.2856,152020.6262,151399.2946,152604.7675,152564.5706,152523.9208,152420.2638,,
Jun-14,,151913,151774,151494,151215,150518,151761,151457,151154,150394,151785,151529,151273,150634,151510,150705,149900,147886,151382,150321,149260,146607,151769,151481,151193,150472,151831.6663,151666.9437,151499.6697,151069.872,151825.1354,151647.2322,151466.617,151002.742,151837.2211,151683.4166,151526.7912,151122.3127,151682.0614,151214.5881,150739.7365,149519.0012,151606.1912,150984.9135,150353.4364,148728.2226,151854.8004,151736.6463,151616.3435,151305.7521,,
Dec-14,,151199,150999,150600,150201,149203,150980,150542,150104,149009,150996,150590,150185,149171,150613,149441,148269,145340,150410,148833,147255,143312,150963,150491,150020,148841,151062.7753,150787.5977,150507.4442,149784.2281,151052.0655,150755.2763,150453.2514,149674.1921,151053.0227,150756.6179,150452.8175,149658.8324,150807.0651,150013.207,149204.4221,147113.8192,150661.5421,149571.2792,148458.6938,145574.1058,151084.4351,150852.0715,150613.9937,149992.1746,,
Jun-15,,150533,150271,149747,149223,147913,150242,149662,149081,147630,150243,149665,149086,147640,149752,148191,146630,142728,149463,147323,145184,139836,150184,149488,148792,147051,150339.4915,149947.7884,149548.2846,148513.5021,150323.5593,149899.6664,149467.5286,148349.1293,150300.2721,149825.212,149335.3914,148040.828,149968.112,148821.774,147651.2851,144613.1263,149735.8822,148114.4841,146454.1746,142121.4524,150345.7063,149963.7244,149570.0661,148530.6008,,
Dec-15,,149944,149618,148965,148313,146682,149579,148848,148118,146292,149559,148789,148019,146094,148960,146991,145022,140100,148575,145836,143097,136250,149463,148502,147540,145137,149692.3881,149180.8142,148658.2467,147300.6936,149669.7895,149112.4311,148543.2629,147065.3364,149611.1371,148927.1689,148218.1128,146324.5716,149199.0382,147683.5019,146133.1036,142094.2049,148865.9899,146666.4854,144407.031,138474.5911,149668.1712,149101.5288,148514.3846,146947.8413,,
Jun-16,,149454,149061,148277,147492,145531,149010,148122,147234,145014,148966,147990,147014,144573,148257,145863,143470,137486,147769,144399,141029,132605,148820,147553,146286,143118,149141.9242,148508.0467,147859.5489,146169.684,149110.9338,148414.0451,147701.0808,145842.9282,149008.3867,148090.9041,147135.1058,144558.2501,148521.8992,146624.5668,144680.1053,139596.6942,148076.7054,145261.8903,142361.6306,134701.3638,149071.9595,148285.6401,147466.697,145259.9104,,
Dec-16,,149077,148617,147697,146777,144477,148550,147498,146445,143814,148480,147287,146094,143111,147659,144824,141989,134902,147062,143034,139006,128936,148270,146657,145043,141010,148704.0359,147945.599,147168.3863,145136.2719,148662.7436,147820.033,146956.134,144695.2374,148510.4305,147340.2112,146115.8049,142786.2979,147953.3624,145663.2191,143311.9216,137142.2465,147387.2871,143926.9245,140351.2207,130852.0386,148572.9053,147531.674,146441.9848,143477.4645,,
Jun-17,,148827,148297,147238,146179,143532,148214,146989,145764,142702,148118,146699,145281,141736,147180,143887,140594,132361,146471,141760,137049,125271,147826,145826,143826,138825,148392.3282,147506.953,146598.0196,144212.5512,148338.7028,147343.4946,146321.0102,143632.7854,148133.2747,146696.129,145186.6878,141050.6497,147507.2885,144813.6032,142042.7007,134743.1242,146813.9661,142683.1351,138402.7914,126967.1768,148184.5691,146852.7998,145452.6169,141608.05,,
Dec-17,,148716,148115,146913,145712,142707,148014,146609,145204,141691,147892,146243,144595,140474,146832,143063,139294,129871,146007,140590,135173,121629,147502,145073,142645,136574,148218.959,147204.012,146160.0006,143408.5809,148150.8906,146996.0871,145806.8329,142664.6544,147891.3058,146177.6542,144371.8721,139390.8463,147195.8213,144087.4413,140883.4088,132406.1298,146371.0171,141548.9855,136539.1709,123080.8662,147919.0688,146260.624,144509.2774,139657.1004,,
Jun-18,,148756,148082,146733,145385,142013,147960,146367,144774,140791,147815,145934,144052,139347,146624,142360,138097,127437,145683,139538,133392,118028,147307,144408,141509,134262,148195.0382,147047.563,145864.695,142733.0347,148110.3675,146788.4476,145423.7147,141798.9828,147797.6463,145802.0468,143693.3219,137843.7588,147029.904,143494.8589,139842.9785,130134.6068,146071.2647,140540.6201,134780.0147,119222.08,147787.4674,145765.6171,143621.4276,137628.446,,
Dec-18,,148958,148207,146707,145207,141457,148063,146273,144484,140010,147899,145783,143667,138376,146568,141788,137009,125061,145510,138614,131718,114479,147252,143839,140427,131897,148330.8569,147047.5306,145721.5576,142193.5012,148227.3978,146730.4258,145180.9958,141043.1971,147864.3681,145585.0098,143170.9508,136443.2358,147019.5795,143044.8614,138928.9711,127929.5984,145926.3808,139672.3043,133142.355,115415.2674,147800.0052,145377.3769,142797.5962,135524.6351,,
Jun-19,,149330,148501,146845,145188,141047,148333,146338,144344,139358,148155,145804,143454,137578,146671,141354,136037,122744,145496,137828,130161,110992,147345,143376,139406,129482,148636.0631,147213.1637,145739.3271,141796.6788,148511.6217,146831.2591,145087.4198,140404.1769,148102.6655,145540.8467,142822.7248,135219.7961,147174.2123,142745.6635,138148.0195,125790.5868,145947.1097,138956.742,131640.9762,111680.6147,147966.2831,145104.8367,142045.6097,133347.1824,,
Dec-19,,149882,148973,147155,145336,140790,148778,146570,144362,138843,148591,146008,143425,136968,146943,141063,135184,120486,145651,137189,128727,107572,147596,143024,138452,127021,149119.8282,147553.207,145926.2015,141548.5448,148972.2189,147099.7358,145151.2954,139888.4071,148523.0274,145682.6338,142664.8015,134200.4192,147502.6837,142604.9538,137506.1658,123715.9921,146143.4724,138405.3489,130288.7285,108034.1726,148295.4369,144956.4613,141372.8092,131096.793,,
Jun-20,,150624,149631,147645,145659,140694,149409,146978,144548,138471,149218,146405,143593,136561,147390,140923,134455,118287,145984,136704,127424,104224,148013,142791,137570,124515,149791.0166,148076.0743,146290.0129,141454.5209,149618.0766,147544.363,145380.6628,139502.1335,149135.4184,146022.4153,142711.7127,133408.4598,148013.5827,142630.1321,137009.1462,121703.5285,146524.971,138028.5173,129096.8288,104487.9582,148796.3154,144940.4468,140786.2688,128773.5811,,
Dec-20,,151564,150484,148324,146164,140763,150233,147570,144907,138251,150045,147006,143967,136370,148022,140938,133853,116142,146502,136379,126256,100948,148604,142684,136765,121965,150658.3642,148790.0283,146838.4085,141519.6412,150457.9659,148173.5416,145783.4666,139251.526,149949.4724,146571.4221,142976.5923,132863.6958,148715.3994,142828.5384,136662.6549,119750.4817,147100.7983,137835.8871,128075.1738,101050.1042,149477.6677,145064.9283,140293.0248,126377.2955,,
Jun-21,,152711,151541,149200,146859,141006,151259,148355,145451,138190,151081,147820,144558,136405,148845,141113,133381,114050,147215,136221,125228,97744,149377,142709,136041,119371,151730.6646,149703.3688,147579.0384,141748.7219,151500.7276,148995.7512,146367.7391,139142.8502,150974.6977,147340.3124,143471.441,132582.5165,149616.7258,143207.683,136472.6045,117853.9544,147880.0582,137836.6302,127232.6802,97725.10555,150348.3403,145338.2012,139900.3213,123907.5621,,
Dec-21,,154075,152810,150281,147751,141427,152497,149341,146186,138296,152336,148857,145378,136680,149868,141455,133041,112007,148129,136236,124343,94611,150341,142872,135404,116732,153016.9664,150824.6296,148519.7523,142146.5348,152755.4678,150019.7439,147141.7918,139182.6491,152220.6942,148339.4302,144207.426,132578.2478,150726.4646,143775.4859,136445.3955,116011.117,148871.9951,138039.7523,126577.6577,94514.20106,151417.4852,145768.9562,139615.8758,121364.1534,,
