date,NY actual,NY noPolicy,NY drug new five,NY drug new fifteen,NY drug new twentyFive,NY drug new fifty,NY property new five,NY property new fifteen,NY property new twentyFive,NY property new fifty,NY violent new five,NY violent new fifteen,NY violent new twentyFive,NY violent new fifty,NY nonviolent new five,NY nonviolent new fifteen,NY nonviolent new twentyFive,NY nonviolent new fifty,NY all new five,NY all new fifteen,NY all new twentyFive,NY all new fifty,NY revocation new five,NY revocation new fifteen,NY revocation new twentyFive,NY revocation new fifty,NY drug length five,NY drug length fifteen,NY drug length twentyFive,NY drug length fifty,NY property length five,NY property length fifteen,NY property length twentyFive,NY property length fifty,NY violent length five,NY violent length fifteen,NY violent length twentyFive,NY violent length fifty,NY nonviolent length five,NY nonviolent length fifteen,NY nonviolent length twentyFive,NY nonviolent length fifty,NY all length five,NY all length fifteen,NY all length twentyFive,NY all length fifty,NY revocation length five,NY revocation length fifteen,NY revocation length twentyFive,NY revocation length fifty
Dec-13,,51754,51735,51699,51662,51570,51732,51689,51646,51539,51725,51666,51608,51462,51700,51593,51486,51218,51671,51506,51340,50926,51719,51648,51577,51401,51745.00549,51727.23851,51709.27135,51663.45506,51745.72868,51729.42024,51712.92804,51670.87293,51742.50253,51719.68756,51696.61552,51637.78181,51731.98502,51687.95827,51643.43545,51529.90224,51720.6726,51653.83088,51586.23601,51413.86909,51739.33182,51710.12215,51680.58336,51605.25944
Jun-14,,51061,51031,50972,50913,50765,51022,50944,50867,50673,51006,50897,50787,50513,50968,50781,50595,50128,50913,50617,50321,49581,51001,50880,50760,50459,51040.32083,50998.68392,50956.41469,50847.8658,51039.27586,50995.46353,50950.90072,50836.06557,51029.06231,50964.52264,50898.8216,50729.25539,51005.26925,50892.63492,50778.14748,50483.47586,50973.42442,50796.25042,50616.06194,50151.8241,51024.82965,50951.82166,50877.65086,50686.92587
Dec-14,,50404,50364,50283,50203,50001,50346,50228,50110,49816,50318,50147,49975,49545,50267,49993,49719,49033,50181,49735,49289,48173,50317,50144,49970,49535,50371.51003,50304.86225,50237.06382,50062.30057,50365.45289,50286.27334,50205.36153,49995.05648,50344.46538,50222.43751,50097.46874,49771.35624,50308.01829,50112.31916,49912.6248,49394.93792,50248.07076,49930.34376,49605.68063,48761.88124,50343.06066,50218.62033,50091.80113,49763.80523
Jun-15,,49774,49723,49623,49522,49271,49693,49531,49370,48966,49652,49409,49165,48557,49590,49223,48856,47937,49468,48858,48247,46721,49659,49429,49200,48626,49728.90805,49638.36257,49546.17354,49308.1621,49714.59955,49594.39829,49471.09695,49148.30889,49679.2786,49486.56318,49288.12978,48764.99758,49632.3004,49344.8315,49050.58573,48283.34944,49537.99888,49057.81456,48565.13539,47274.76691,49685.03087,49505.13785,49321.40065,48844.23845
Dec-15,,49162,49103,48985,48867,48573,49058,48849,48641,48120,49001,48678,48356,47550,48930,48467,48005,46847,48769,47984,47198,45235,49019,48733,48447,47732,49106.36149,48994.1174,48879.83291,48584.78052,49080.77425,48915.39246,48745.20239,48296.94857,49027.90063,48753.41532,48469.38477,47713.46941,48973.15022,48588.72331,48194.2383,47160.66927,48839.31373,48180.40151,47501.88595,45712.40156,49045.04409,48807.70457,48564.91216,47932.52429
Jun-16,,48565,48499,48366,48234,47903,48436,48179,47921,47277,48361,47953,47546,46526,48285,47725,47165,45765,48081,47113,46146,43727,48394,48051,47709,46852,48500.04356,48368.83616,48235.32895,47891.10003,48460.39763,48246.71368,48026.2191,47442.41801,48387.13241,48021.56699,47641.57345,46621.30464,48327.57845,47843.27493,47345.25191,46035.07946,48149.90753,47300.03859,46422.02203,44091.58077,48419.59075,48124.0079,47821.29845,47031.20425
Dec-16,,47980,47908,47764,47620,47259,47826,47518,47210,46439,47731,47233,46735,45490,47652,46995,46337,44694,47403,46248,45092,42204,47781,47382,46984,45987,47907.61637,47760.43529,47610.85302,47226.107,47851.36466,47586.99395,47313.55823,46586.26133,47755.25251,47290.80083,46806.01071,45493.60105,47693.85273,47108.27516,46505.03376,44912.48755,47468.78452,46418.75527,45330.72376,42425.76789,47806.55726,47452.66105,47089.95451,46141.91014
Jun-17,,47407,47330,47177,47024,46641,47227,46866,46506,45605,47111,46518,45925,44444,47030,46276,45522,43637,46734,45387,44040,40674,47180,46725,46271,45135,47327.67003,47167.60525,47005.20155,46588.88959,47252.47174,46935.56538,46607.12507,45729.99092,47131.42659,46561.57622,45964.50294,44335.6323,47071.01039,46383.80701,45674.79013,43797.2824,46795.60578,45538.55203,44232.46188,40726.0835,47204.69588,46792.86147,46370.5589,45265.71195
Dec-17,,46843,46764,46604,46445,46046,46637,46223,45810,44776,46498,45808,45118,43392,46418,45568,44718,42593,46073,44533,42992,39141,46589,46079,45570,44297,46759.35883,46589.51327,46417.55044,45978.61595,46663.05237,46292.15842,45907.08008,44875.00635,46515.33568,45834.70044,45119.05683,43152.63678,46458.54166,45670.09058,44855.53247,42692.76242,46130.39598,44661.30966,43131.10794,39001.91783,46613.28117,46144.15443,45662.9493,44403.29216
Jun-18,,46290,46208,46046,45883,45476,46056,45588,45121,43952,45894,45103,44313,42335,45817,44872,43927,41565,45422,43686,41950,37611,46008,45445,44881,43472,46202.17063,46025.60978,45847.30255,45394.50743,46082.7493,45656.71425,45213.69187,44022.54814,45906.94572,45111.13009,44271.70907,41949.71174,45856.18978,44967.38168,44048.07748,41601.40256,45473.36088,43788.73716,42030.01194,37261.33969,46031.89288,45506.28036,44967.03824,43555.05254
Dec-18,,45745,45664,45500,45337,44928,45484,44962,44440,43134,45299,44405,43512,41278,45226,44188,43150,40554,44780,42848,40916,36087,45437,44820,44203,42661,45655.78363,45475.50666,45293.99039,44835.82039,45511.37469,45029.27159,44527.25074,43173.67554,45306.36745,44391.85465,43424.43071,40731.76623,45263.82865,44275.91267,43253.05367,40525.03328,44824.77801,42922.34923,40932.06629,35511.38143,45460.28173,44879.08044,44282.76201,42721.18806
Jun-19,,45210,45130,44968,44807,44403,44921,44344,43766,42322,44711,43714,42717,40223,44645,43515,42385,39559,44146,42019,39891,34572,44876,44206,43537,41864,45119.97922,44938.90296,44757.21659,44301.83588,44948.82617,44409.90095,43848.02117,42329.2612,44713.77328,43677.83092,42579.07664,39503.50431,44681.39043,43595.86244,42470.91525,39464.9684,44184.93387,42063.46352,39839.76204,33758.24287,44898.28835,44262.44084,43610.05253,41901.7413
Dec-19,,44684,44606,44449,44292,43900,44367,43734,43101,41518,44133,43030,41928,39171,44074,42854,41633,38582,43523,41200,38877,33069,44324,43603,42882,41081,44594.5905,44415.54109,44236.61913,43791.85427,44395.0381,43798.66873,43176.21876,41489.99746,44129.34963,42969.94856,41737.36174,38269.42139,44108.82452,42927.34463,41701.96105,38422.1023,43554.09042,41213.20946,38755.23905,32007.43996,44345.79566,43656.26131,42948.82394,41096.64368
Jun-20,,44167,44092,43942,43792,43418,43822,43133,42443,40719,43563,42354,41146,38125,43512,42204,40895,37623,42908,40391,37874,31581,43781,43010,42239,40310,44079.4726,43905.18208,43731.85196,43305.19308,43849.95432,43195.61927,42512.00191,40656.4102,43553.27087,42269.01396,40900.85225,37033.80416,43546.07587,42270.40703,40946.35589,37396.98798,42932.46907,40372.54333,37680.33049,30263.91449,43802.702,43060.43874,42298.96781,40305.74714
Dec-20,,43659,43588,43448,43307,42956,43286,42540,41794,39929,43001,41687,40372,37086,42961,41565,40169,36680,42303,39593,36883,30108,43248,42427,41606,39553,43574.48664,43407.59241,43242.57522,42841.18629,43313.51398,42600.76772,41855.47189,39828.87704,42985.68634,41575.74501,40070.96553,35800.72919,42993.07473,41625.0367,40204.15232,36389.90198,42320.24506,39542.26569,36616.60183,28532.11515,43268.90672,42474.85963,41660.35329,39528.84852
Jun-21,,43159,43095,42966,42837,42515,42757,41955,41152,39145,42449,41028,39608,36056,42419,40938,39457,35756,41708,38807,35906,28653,42724,41854,40984,38809,43079.49151,42922.53775,42768.45079,42399.18461,42785.64505,42014.09886,41206.67744,39007.64738,42426.71502,40890.7717,39248.97427,34574.05818,42449.7331,40991.16805,39475.31104,35400.89955,41717.54744,38723.03907,35565.38462,26816.05705,42744.30324,41899.39757,41032.82957,38765.70781
Dec-21,,42668,42611,42496,42381,42094,42238,41378,40518,38368,41905,40379,38852,35037,41886,40322,38758,34848,41123,38033,34942,27217,42209,41291,40373,38078,42594.34035,42449.78051,42309.14106,41978.5559,42266.2621,41435.56907,40565.6213,38192.86258,41876.44441,40214.64007,38436.01282,33357.42947,41915.94465,40368.69156,38759.71948,34429.86175,41124.46216,37915.40472,34527.8054,25119.36432,42228.7763,41333.91347,40416.22932,38016.06171
